Name,Nationality,Club,Position,DoB,Age,Height,Appearances,Goals,Assists,Clean sheets
Max Aarons,England,Bournemouth,Defender,04/01/2000 ,24,178,84,0,4,10
Zach Abbott,England,Nottingham Forest,Defender,13/05/2006 ,17,0,0,0,0,0
Tosin Adarabioyo,England,Fulham,Defender,24/09/1997 ,26,196,71,2,0,16
Tayo Adaramola,Ireland,,Defender,14/11/2003,21,177,0,0,0,0
Valintino Adedokun,Ireland,Brentford,Defender,14/02/2003 ,21,0,0,0,0,0
Adrián,Spain,Liverpool,Goalkeeper,03/01/1987 ,37,190,139,0,0,38
Nayef Aguerd,Morocco,West Ham United,Defender,30/03/1996 ,27,190,37,3,0,7
Anel Ahmedhodzic,Bosnia & Herzegovina,Sheffield United,Defender,26/03/1999 ,24,195,21,1,0,1
Ola Aina,Nigeria,Nottingham Forest,Defender,08/10/1996 ,27,184,48,3,2,7
Rayan Aït-Nouri,Algeria,Wolverhampton Wanderers,Defender,06/06/2001 ,22,180,88,3,4,10
Kristoffer Ajer,Norway,Brentford,Defender,17/04/1998 ,25,198,52,1,4,8
Manuel Akanji,Switzerland,Manchester City,Defender,19/07/1995 ,28,186,48,2,1,12
Nathan Aké,Netherlands,Manchester City,Defender,18/02/1995 ,29,180,218,18,8,47
Ameen Al Dakhil,Belgium,Burnley,Defender,06/03/2002 ,21,187,13,1,0,0
Alex Murphy,Ireland,Newcastle United,Defender,25/06/2004 ,19,0,1,0,0,0
Alex Telles,Brazil,Newcastle United,Defender,15/12/1992,32,181,30,0,6,5
Trent Alexander-Arnold,England,Liverpool,Defender,07/10/1998 ,25,175,219,14,58,68
Alisson Becker,Brazil,Liverpool,Goalkeeper,02/10/1992 ,31,193,194,1,3,85
Sonny Aljofree,England,,Defender,19/12/2004,20,0,0,0,0,0
